ra,dec,mjd_i,u,g,r,i,z,objID,err_i,thingID
12.193005460241,-0.775815098500317,52959.19494393,24.26989,25.1305,22.5364,22.19699,21.57322,1237663714409055340,0.2820415,77759301
12.2026475402075,-0.761001600122195,53352.1457467599,23.24111,22.27482,21.09154,20.79708,20.30515,1237667171857728005,0.09170268,77759456
12.2057836149896,-0.775694127707269,51081.31667745,22.83217,21.22721,20.06603,19.72955,19.48229,1237646010551632157,0.04603041,77759457
12.1915438950351,-0.762411299664434,51136.16648779,22.63919,20.47032,19.14709,18.44366,18.00173,1237646646197551217,0.01282711,77759278
12.2009704172905,-0.773287157398454,54424.20414964,21.95731,20.76509,19.45793,18.84919,18.49583,1237676324423008451,0.01679055,77759448
12.1915373127231,-0.762408748220929,51081.31667745,22.64666,20.5367,19.16268,18.46735,18.03706,1237646010551631998,0.01109915,77759278
12.193555150056,-0.770003689749075,51819.38787794,21.96305,21.55314,20.93182,20.21065,19.74897,1237653011368116438,0.0695263,77759292
12.19361503707,-0.769996693444587,52522.34884536,21.64928,21.76975,20.99084,20.19212,19.72328,1237659754449142208,0.07065767,77759292
12.202662255537,-0.761050418491439,52522.34884536,23.97536,22.38675,21.56475,21.0001,21.25062,1237659754449142225,0.0995203,77759456
12.1915314310936,-0.762405049101548,52552.34309687,23.77072,20.58889,19.17995,18.48582,18.11917,1237659904789577898,0.01029362,77759278
12.1811598024919,-0.779219879026939,52558.3518048,24.06612,22.8779,21.7992,21.41175,21.51647,1237660025045975396,0.1001505,77759369
12.1929125976962,-0.770236897176999,52963.17471733,22.90864,22.3552,21.83383,21.61719,22.00024,1237663783128990233,0.149433,77759293
12.1854480160578,-0.778056720597973,52586.24410767,22.88286,22.5819,21.38492,21.86213,20.55218,1237660355752755683,0.4454098,77759373
12.1915312811338,-0.762400472187254,52910.32426924,23.22427,20.55268,19.10714,18.42229,18.01543,1237663276322455724,0.0100239,77759278
12.1951045975374,-0.764252314443335,52910.32426924,23.77614,21.78627,20.58675,19.86727,19.36214,1237663276322456190,0.0382957,77759309
12.1854170265325,-0.778030565989335,52931.25456227,23.09883,23.17884,22.52298,22.32567,23.84864,1237663478202041043,0.2443286,77759373
12.2009434703271,-0.773275391060107,52963.17471733,24.09379,20.81712,19.49354,18.88639,18.51126,1237663783128989873,0.01226308,77759448
12.1951143195518,-0.764291799580486,51136.16648779,22.45762,21.95765,20.38105,19.67822,19.33129,1237646646197551511,0.05412269,77759309
12.2057545201003,-0.775694543117035,51136.16648779,22.21294,21.45524,20.17492,19.90706,19.34075,1237646646197551529,0.058876,77759457
12.1930036845732,-0.778456016930352,52558.3518048,23.62774,23.49741,23.16379,21.32533,21.91969,1237660025045975858,0.1686135,77759298
12.2025752050621,-0.761045683386606,52586.24410767,22.74272,22.52848,21.51885,21.08998,20.86504,1237660355752755723,0.1204479,77759456
12.1935973188868,-0.769947284666886,52910.32426924,23.40674,23.39971,21.8544,21.0995,20.47848,1237663276322456185,0.07143638,77759292
12.2010481155067,-0.766963209336876,52910.32468387,22.60049,23.21206,21.94641,21.80313,21.25499,1237663276322521718,0.1361312,77759454
12.1811671733849,-0.779221727761602,52935.25150889,25.96773,22.65272,21.763,21.35887,21.22215,1237663525449892301,0.1159472,77759369
12.202618421209,-0.761028638894609,52963.17471733,24.84276,22.60904,21.38709,21.00854,20.49966,1237663783128990267,0.06910123,77759456
12.1935456089464,-0.77002441070659,51136.16648779,23.6896,21.62136,20.89614,20.44773,19.48516,1237646646197551509,0.1030865,77759292
12.2057953700096,-0.775683849489467,52522.34884536,22.9183,21.16721,20.00027,19.51894,19.04431,1237659754449142229,0.04807318,77759457
12.193610643013,-0.769995382814116,52577.23916663,22.83411,22.0626,21.25747,20.50607,20.06974,1237660222616633915,0.06600522,77759292
12.18529352896,-0.778057445397427,52935.25150889,21.54635,22.86104,22.29001,21.65778,20.24883,1237663525449892692,0.2954103,77759373
12.2009847799911,-0.766970612161932,52963.17471733,22.92924,22.40606,21.85448,21.79327,21.36826,1237663783128990257,0.1182462,77759454
12.1853564589336,-0.778050977546455,53352.1457467599,23.33966,22.89705,22.29333,22.10192,21.86506,1237667171857727963,0.2103789,77759373
12.1951077256408,-0.764297903812185,51081.31667745,25.71284,21.84109,20.43816,19.68906,19.17175,1237646010551632137,0.04606465,77759309
12.1811824111983,-0.779275275026405,52522.34884536,22.07763,23.08039,21.6423,21.76757,21.30969,1237659754449142403,0.2053846,77759369
12.1811332607942,-0.779229525856865,51081.31667745,25.45731,22.93843,21.68538,21.44004,20.91657,1237646010551632372,0.1405059,77759369
12.1853997939903,-0.778012772458183,52577.23916663,25.16983,23.03275,22.65933,22.49909,21.76706,1237660222616633900,0.260314,77759373
12.2057399393246,-0.775674388174056,52586.24410767,22.97198,21.52169,20.09993,19.67123,19.19611,1237660355752755730,0.0500366,77759457
12.2057724964461,-0.775677179893953,52935.25150889,21.67248,21.32413,20.08904,19.55924,19.07297,1237663525449892354,0.04379594,77759457
12.2009899497348,-0.766969226668103,54424.20414964,26.54631,22.35649,21.84034,21.37804,21.76219,1237676324423008628,0.1497919,77759454
12.1853483083181,-0.778031466364202,52552.34309687,24.01253,22.81611,22.66423,22.4433,22.25298,1237659904789578346,0.2367512,77759373
12.2026351347481,-0.760987906583994,52552.3435115,23.08579,22.51067,21.55315,21.09669,21.2547,1237659904789643543,0.0761821,77759456
12.1929972961936,-0.770220524792133,52910.32426924,22.86092,22.1307,21.83696,21.68833,21.98219,1237663276322456186,0.1638383,77759293
12.1931204145069,-0.778463184302369,52931.25456227,26.15975,22.75317,22.42788,20.82343,22.09938,1237663478202041164,0.1328319,77759298
12.2058100233681,-0.775671944310135,52931.25456227,23.53321,21.48579,20.30909,19.80914,19.53165,1237663478202040861,0.04185668,77759457
12.2026652299967,-0.761078650433305,51136.16648779,25.27972,22.3672,21.25754,21.08965,20.87447,1237646646197551524,0.1464734,77759456
12.1811313952819,-0.779196145911306,52910.32426924,23.90458,22.83997,21.78269,21.43846,21.39367,1237663276322456157,0.09003729,77759369
12.1853397225081,-0.778029431226781,52910.32426924,22.86891,22.93125,22.57598,21.99155,21.74805,1237663276322456491,0.2026747,77759373
12.1846822302541,-0.76092948403363,52931.25456227,24.23199,24.07164,22.56149,21.88854,20.76796,1237663478202041042,0.1745281,77759387
12.1951150670088,-0.764321145178403,52931.25456227,24.99868,22.19015,20.62129,19.98628,19.49894,1237663478202040837,0.04503281,77759309
12.1915407365239,-0.762420732955953,52935.25150889,23.91851,20.54978,19.15638,18.47059,18.00953,1237663525449891999,0.0113614,77759278
12.1920461023739,-0.758729269516743,52963.17471733,24.0982,24.07768,23.98048,24.85187,19.15357,1237663783128990880,0.5793985,77759300
12.2010109973105,-0.766962277708453,53352.1457467599,22.60091,23.215,22.07482,21.78308,21.24024,1237667171857728259,0.1284973,77759454
12.1915560792385,-0.762401325429338,52577.23916663,23.63545,20.5896,19.16017,18.45182,18.12684,1237660222616633509,0.0105258,77759278
12.2009634806629,-0.766987091194229,52935.25150889,24.25443,22.9261,21.91463,21.87041,22.13352,1237663525449892345,0.1779892,77759454
12.2009523328591,-0.773287897300757,52959.19494393,24.85756,20.77486,19.46156,18.86186,18.48039,1237663714409054355,0.01222008,77759448
