ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,err_i
12.1935142439325,-0.769990221943172,54061.27686853,23.0748,21.49192,20.80133,20.32739,19.70638,8658198597387092191,0.08349011
12.1934984107024,-0.770025325426533,54379.34875676,21.66025,21.59878,20.79053,20.26082,19.60781,8658200452577690124,0.07664923
12.1935319373858,-0.770019476618364,54413.26320611,22.19304,21.3008,20.70673,20.08167,19.57695,8658200972268863924,0.07301441
12.1935157676354,-0.769999589915981,54418.26328923,22.28683,21.45245,20.78608,20.1747,19.42299,8658201040988996122,0.0642052
12.1935155568471,-0.769961947681504,53674.24964098,24.74258,21.45293,20.77427,20.23099,19.30568,8658476657627103559,0.06754889
12.1935615460048,-0.770041731150109,51081.3166816,21.88265,21.33082,20.70981,19.97077,19.37704,8658170821574656255,0.06915698
12.193563046179,-0.770008284357602,51819.3878788,22.06493,21.5989,21.01773,20.28152,19.8156,8658177822391140555,0.06564704
12.1935730126573,-0.769969291722358,52558.3530531,21.5771,21.51246,20.85911,19.89631,19.37883,8658184836068999557,0.05468516
12.193571232555,-0.769975829648296,52586.244109,21.67492,21.4694,20.64572,20.12156,19.39121,8658185166775779686,0.07402092
12.1935510710346,-0.770012885280114,52935.2515118,22.01645,21.21361,20.54775,20.13524,19.17462,8658188336472916429,0.07743651
12.1935625035971,-0.770010007923959,52959.1949443,21.74953,21.73866,20.91611,20.30989,19.52756,8658188525432078858,0.05732988
12.1935649382321,-0.77000965122112,52959.1949443,22.29619,22.3768,21.50545,20.91959,20.07027,8658188525432078859,0.06065536
12.1935634290779,-0.769983775766087,53352.1457481,22.27866,21.81203,21.02211,20.50836,19.75803,8658191982880752071,0.06876414
12.1935698307779,-0.770054747954399,53622.35405081,21.98032,22.02736,20.88699,20.25715,19.66144,8658194259230916916,0.08053238
12.1935523902199,-0.77004170164688,53640.30890624,22.99552,21.6335,21.0151,20.23286,20.13955,8658194534113214828,0.06059461
12.1935580013728,-0.76999300912221,53676.3390687,22.53762,21.75547,20.9553,20.28653,19.49178,8658195225595478391,0.05596839
12.193570287082,-0.769976625200965,53676.3390687,23.41404,23.20436,21.76233,21.14878,20.29764,8658195225595478392,0.06615907
12.1935744124066,-0.769958876398948,53681.30236995,22.38444,21.76381,22.16243,20.50538,19.78022,8658195350154772812,0.08501481
12.1935609422877,-0.769972066393651,53697.25942276,22.14472,21.51768,20.89176,20.31584,19.6063,8658195603559022946,0.06907765
12.1935481024513,-0.770017407686227,53994.35298327,21.48095,21.5992,20.81403,20.20809,19.56333,8658197579219206376,0.06281754
12.1935455732233,-0.769975032523475,53996.33678773,22.37908,21.81922,21.16751,20.53377,19.65874,8658197630777229681,0.06454101
12.193565054534,-0.770059873673936,53998.30527396,21.69328,21.6368,20.90181,20.32496,19.91111,8658197673735094853,0.07296371
12.1935711711543,-0.77001458372459,54030.28329798,22.88801,22.11146,21.35324,20.54249,19.76546,8658198111820317114,0.05722236
12.1935711814641,-0.770014648846767,54030.28329798,23.16418,22.41346,21.6239,20.8302,20.0622,8658198111820317115,0.05882007
12.1935445444757,-0.770007337054538,54053.26958412,22.14295,21.81113,20.93289,20.36517,19.73533,8658198438239142454,0.07057128
