ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i
12.1986510198076,-0.819390072137192,51075.3327138,-9999,-9999,-9999,-9999,-9999,8658170687899894186,-9999
12.1983917618701,-0.828136697165965,51075.3327138,22.07572,21.7136,21.11507,20.79639,20.38916,8658170687899893956,0.07475569
12.168014247272,-0.818976508077668,51075.3327138,-9999,-9999,20.89747,-9999,-9999,8658170687899894331,-9999
12.1425704742617,-0.825241017563671,51075.3327138,20.31411,23.97401,22.14316,26.8424,19.67612,8658170687899894479,0.9848537
12.1754724119787,-0.819435230186933,51075.3327138,23.93441,-9999,21.41019,21.28715,20.86288,8658170687899894147,0.1234404
12.146900339683,-0.826790292926713,51075.3327138,23.80138,22.64512,21.92684,21.07935,22.06713,8658170687899894306,0.1431008
12.163288276421,-0.821180559334328,51075.3327138,23.2021,24.9689,24.22335,24.23188,20.59546,8658170687899894475,0.8707089
12.194452802935,-0.827799429632246,51075.3327138,23.58056,21.4474,20.35699,19.87364,19.67811,8658170687899894178,0.03187432
12.1525351979898,-0.819636485450952,51075.3327138,-9999,-9999,21.73149,20.48107,19.39246,8658170687899894496,0.2135196
12.1852662547943,-0.821136820752714,51075.3327138,23.27928,25.75383,24.68325,24.57208,20.64763,8658170687899894476,0.8631428
12.1526065866883,-0.826192732527964,51075.3327138,21.04902,18.88665,17.96129,17.59692,17.40635,8658170687899893849,0.006977533
12.1365095268125,-0.824769314910993,51075.3327138,25.17885,25.51526,24.28793,22.68164,20.15644,8658170687899894474,0.5043629
12.1363255403683,-0.822438004587813,51075.3327138,24.41836,22.97728,22.00994,22.17251,21.99657,8658170687899894291,0.2904579
12.2039071427278,-0.825398150796581,51075.3327138,21.93791,26.3298,25.50582,24.98612,23.71352,8658170687899893959,0.7475148
12.2032495450138,-0.821129636991842,51075.3327138,22.97159,25.648,24.11712,25.08647,20.32944,8658170687899894477,0.9084587
12.1817121943785,-0.82279502231809,51075.3327138,18.98946,17.94766,17.50829,17.33092,17.24136,8658170687899893814,0.006144793
12.1781547733004,-0.821754356009391,51075.3327138,24.56287,24.57822,22.61385,23.25545,21.67733,8658170687899894346,0.5632083
