ra,dec,mjd_g,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,modelMagErr_g,thingID
12.1498286501481,-0.734659189391836,51081.3187495099,24.75852,24.33729,22.1261,21.8917,21.84484,1237646010551566940,0.2028918,0.776998,77759544
12.1615932882181,-0.733449947897208,51081.3187495099,22.44187,22.23904,21.50307,21.32736,21.62893,1237646010551566783,0.1310436,0.1531385,77759546
12.1492292859736,-0.72056802660269,51081.3187495099,22.75741,21.6164,20.85599,20.57694,19.92186,1237646010551566752,0.1261824,0.1612715,77759707
12.150788246801,-0.724636311135252,51081.3187495099,26.06182,22.68157,21.32112,20.95983,20.90847,1237646010551566942,0.1141848,0.2715478,77759708
12.1527181157913,-0.728620459371959,51081.3187495099,24.65878,23.40022,21.42567,20.43777,19.75132,1237646010551566944,0.05190299,0.3645304,77759712
12.1634793697353,-0.718114568494665,51081.3187495099,22.16724,21.31896,20.02951,19.16968,18.81565,1237646010551566786,0.03374474,0.1140131,77759721
12.1575545952689,-0.729885125441182,51081.3187495099,23.9112,23.7956,21.73506,21.49717,20.79952,1237646010551566950,0.2239106,0.8419802,77759731
12.1636799404219,-0.730183858130033,51081.3187495099,24.43431,22.48839,21.56987,20.91932,21.41372,1237646010551566952,0.1338074,0.2723241,77759735
12.1596183102484,-0.754159068763997,51081.3187495099,20.1283,17.41021,16.05953,15.39643,15.05701,1237646010551566434,0.003132243,0.004787209,77759852
12.162684611878,-0.775376040052495,51081.3187495099,21.13023,19.89755,19.52142,19.33617,19.17762,1237646010551566519,0.02139005,0.0197715,77759854
12.166472110743,-0.758072446563908,51081.3187495099,22.95824,20.15525,18.74593,17.33002,16.58248,1237646010551566458,0.005754223,0.02405579,77759855
12.1525135075675,-0.799553153921711,51081.3187495099,24.00215,20.26493,18.78655,17.79549,17.28406,1237646010551566455,0.007317125,0.02572165,77759856
12.1552235260725,-0.743091071473047,51081.3187495099,22.19984,20.05883,19.29619,18.82431,18.43278,1237646010551566770,0.01843311,0.02816112,77759858
12.150032598642,-0.744637524747827,51081.3187495099,22.92389,21.85844,20.77486,20.49605,20.21237,1237646010551566755,0.08220851,0.1403695,77759860
12.152739161768,-0.794518304296422,51081.3187495099,22.2074,22.88851,21.82561,21.37759,20.44516,1237646010551566943,0.1446683,0.2811678,77759862
12.1528788048829,-0.791927211141865,51081.3187495099,22.87521,21.93295,20.61235,19.37188,18.71096,1237646010551566762,0.021573,0.1021264,77759864
12.1529576662455,-0.773727889026164,51081.3187495099,22.07734,21.53395,20.55704,20.22984,19.9486,1237646010551566763,0.06030267,0.09828277,77759865
12.1535988371662,-0.761300441097659,51081.3187495099,23.16163,22.03331,20.61123,19.84783,19.43771,1237646010551566764,0.03176033,0.1112938,77759867
12.1535949466414,-0.746657867478153,51081.3187495099,23.35758,22.71859,21.75913,21.69729,21.24771,1237646010551566769,0.1834086,0.2325561,77759868
12.1543464981943,-0.776853143399432,51081.3187495099,23.66282,23.11368,22.17319,21.32574,20.87741,1237646010551567030,0.1490603,0.3695152,77759870
12.1565387274524,-0.798919210254636,51081.3187495099,23.09627,22.24379,21.9649,21.35744,21.87163,1237646010551566771,0.1246568,0.1415983,77759874
12.1600769403618,-0.748993186614685,51081.3187495099,23.18798,21.98366,21.36792,21.31143,21.70556,1237646010551566782,0.1565342,0.1436654,77759877
12.1634308784359,-0.745549313212389,51081.3187495099,21.06983,20.23123,19.27717,18.88047,18.74741,1237646010551566784,0.02584302,0.04300238,77759879
12.152681786414,-0.767926936936578,51081.3187495099,25.03717,24.49153,22.6929,21.92118,23.20217,1237646010551566948,0.2035764,0.8247764,77759872
12.1575494640844,-0.774503774109516,51081.3187495099,22.53465,22.9985,23.04108,21.57886,20.82353,1237646010551567032,0.1678329,0.3018769,77759886
12.1599462194301,-0.809440135920827,51081.3187495099,23.3014,22.62921,21.5328,21.0719,20.70574,1237646010551566951,0.1418006,0.286332,77759889
12.1626064961599,-0.792364287355155,51081.3187495099,21.93043,24.0714,23.10863,21.65196,21.21779,1237646010551567036,0.1513804,0.6080831,77759891
12.1666792847411,-0.801121946020529,51081.3187495099,23.59337,23.42263,22.74702,21.83254,21.481,1237646010551567037,0.1862013,0.3846403,77759899
12.1483535018528,-0.758647796509265,51081.3187495099,27.2508,22.99023,21.78638,22.17506,21.89977,1237646010551566938,0.4062979,0.4132147,77964691
12.1529198370308,-0.819118997655632,51081.3187495099,25.35934,24.19847,22.45323,21.77201,22.85597,1237646010551566945,0.1675624,0.6623057,77181599
12.1908281129071,-0.805900753104208,51081.31916392,21.60993,21.068,21.42619,20.76917,21.27717,1237646010551632128,0.2316144,0.1495769,77037086
12.2132554815616,-0.806904367061767,51081.31916392,22.98181,22.4419,22.61468,21.30974,23.56331,1237646010551632166,0.1165935,0.1656494,77759937
12.2146165257006,-0.753919005911205,51081.31916392,23.35703,22.42876,22.04148,21.38314,21.43375,1237646010551632169,0.1427557,0.1864001,77759938
12.2160736157362,-0.77039411701712,51081.31916392,24.05984,22.13397,21.05584,20.69031,20.07242,1237646010551632177,0.07752685,0.1442944,77759939
12.2198139878199,-0.786493632573451,51081.31916392,22.89228,22.55659,21.10231,20.17124,19.49886,1237646010551632183,0.04855684,0.2060081,77759941
12.2205720428017,-0.75394145387113,51081.31916392,24.0407,22.08491,21.5833,22.24592,21.42463,1237646010551632185,0.4582402,0.2012461,77759943
12.2214976913343,-0.799237455315201,51081.31916392,25.03933,23.11103,22.17353,20.68573,19.75912,1237646010551632413,0.06420236,0.2851039,77759944
12.2236112475279,-0.786718957228031,51081.31916392,23.66683,23.05306,21.80609,21.77395,22.12755,1237646010551632414,0.17869,0.2861269,77759945
12.2197173540728,-0.742418172063184,51081.31916392,23.26238,22.6028,23.33237,23.12582,21.3562,1237646010551632184,0.6140937,0.2116883,77759942
12.212728302541,-0.799979028639015,51081.31916392,24.46385,23.25349,21.98349,21.15434,20.84356,1237646010551632408,0.1001137,0.3311411,77759950
12.2098660392028,-0.768445946196151,51081.31916392,23.02532,23.55964,22.24346,21.65415,21.03553,1237646010551632404,0.2097818,0.5653568,77759952
