ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,thingID
12.217702497258,-0.722954565662758,51081.31667745,23.02308,21.2294,19.72935,19.06234,18.64347,1237646010551632179,0.01703863,77759608
12.1854305739666,-0.778037918227939,51081.31667745,24.77038,22.78869,22.29078,22.27963,23.23129,1237646010551632378,0.2964308,77759373
12.1683090850365,-0.806118552019445,51081.31667745,25.12393,23.51183,22.20426,21.82806,22.33428,1237646010551632356,0.2077091,77759375
12.1874563359288,-0.736107788068636,51081.31667745,22.05984,21.80298,20.20783,19.05399,18.62378,1237646010551632384,0.04205208,77759284
12.1943640567644,-0.755208002644355,51081.31667745,23.1241,22.56461,21.52409,21.4701,21.94746,1237646010551632387,0.1965797,77759295
12.1985411878038,-0.793572970577946,51081.31667745,22.80882,19.99903,18.73886,18.28633,18.02424,1237646010551631999,0.009836134,77759306
12.1816243114305,-0.754413997636666,51081.31667745,24.52585,25.26609,21.70065,21.81815,22.0304,1237646010551632116,0.2131438,77759372
12.2062606042242,-0.733318388296768,51081.31667745,22.78259,22.47623,20.92681,19.67485,18.82374,1237646010551632158,0.0287282,77759520
12.188090721279,-0.728854474955018,51081.31667745,21.78314,20.99967,20.0549,19.6269,19.18955,1237646010551632123,0.04169597,77759557
12.2265673602035,-0.722018929761078,51081.31667745,24.10922,22.98544,22.97711,21.68058,21.05758,1237646010551632543,0.1920345,77759623
12.1766336321723,-0.729353569404414,51081.31667745,20.80381,19.8649,18.81964,18.3445,17.95038,1237646010551632033,0.01577965,77759656
12.1936358153308,-0.794974995836535,51081.31667745,24.64021,23.94878,23.41058,21.55898,20.82199,1237646010551632533,0.1439813,77759299
12.1791210914839,-0.758210682825415,51081.31667745,23.40579,22.41092,20.9056,20.27616,19.83944,1237646010551632109,0.06079238,77759367
12.1754952961582,-0.819409874134674,51081.31667745,25.66928,22.0069,21.11685,20.60967,20.29109,1237646010551632098,0.09122007,77759362
12.2343875554169,-0.762024327785519,51081.31667745,25.233,23.10472,21.44345,20.00485,19.34097,1237646010551632424,0.0362421,77759409
12.1951077256408,-0.764297903812185,51081.31667745,25.71284,21.84109,20.43816,19.68906,19.17175,1237646010551632137,0.04606465,77759309
12.1704515369461,-0.752291769166105,51081.31667745,23.16586,20.92307,19.37749,18.15957,17.52181,1237646010551631995,0.009103649,77759350
12.1669817426812,-0.770808262237929,51081.31667745,21.37057,20.67019,19.93786,19.60424,19.24618,1237646010551632083,0.0442859,77759353
12.1682383891643,-0.737217271751058,51081.31667745,21.34163,21.42812,20.52094,19.85797,19.27271,1237646010551632088,0.08567359,77759358
12.1835076894909,-0.739597231843233,51081.31667745,23.82602,21.82226,20.86485,20.52541,19.8079,1237646010551632119,0.09305107,77759385
12.2099610748331,-0.806440089294181,51081.31667745,23.12015,23.23012,22.25463,22.36462,22.45715,1237646010551632403,0.2999299,77759935
12.2478472401572,-0.797006320899955,51081.31667745,22.53488,20.65337,19.28321,18.72153,18.40555,1237646010551632003,0.01337959,77759315
12.2466761546798,-0.745238843509949,51081.31667745,25.82502,22.75609,21.34088,20.38443,19.95388,1237646010551632227,0.04986845,77759329
12.2484367808856,-0.773479475461625,51081.31667745,24.94352,24.06719,22.45767,21.02358,20.12951,1237646010551632552,0.1124858,77759340
12.1771489088162,-0.77528518284065,51081.31667745,24.33661,22.72035,22.20244,20.98519,20.92063,1237646010551632520,0.1145057,77759378
12.2021162406579,-0.745002601688949,51081.31667745,23.59514,23.37532,22.68617,21.95306,22.2175,1237646010551632538,0.19792,77759455
12.2197173540728,-0.742418172063184,51081.31667745,23.26238,22.6028,23.33237,23.12582,21.3562,1237646010551632184,0.6140937,77759942
12.2033185737191,-0.72243061631442,51081.31667745,22.28915,21.41269,21.1006,21.01488,20.60808,1237646010551632151,0.0873909,77759591
12.212728302541,-0.799979028639015,51081.31667745,24.46385,23.25349,21.98349,21.15434,20.84356,1237646010551632408,0.1001137,77759950
12.2132554815616,-0.806904367061767,51081.31667745,22.98181,22.4419,22.61468,21.30974,23.56331,1237646010551632166,0.1165935,77759937
12.2098660392028,-0.768445946196151,51081.31667745,23.02532,23.55964,22.24346,21.65415,21.03553,1237646010551632404,0.2097818,77759952
12.2465258562363,-0.767081581485722,51081.31667745,23.97674,21.77352,21.06777,21.55779,20.69247,1237646010551632226,0.1585723,77759328
12.1786322057716,-0.81082453315484,51081.31667745,26.39513,22.90106,22.01206,22.40157,20.97631,1237646010551632367,0.3615293,77759366
12.2085152871892,-0.761691173337568,51081.31667745,18.26811,16.49897,15.83777,15.60233,15.482,1237646010551631882,0.003234477,77759443
12.1677633368333,-0.761111791855231,51081.31667745,24.84555,22.71355,21.14673,20.34716,19.62844,1237646010551631992,0.04975314,77759354
12.1807105445266,-0.733680104611472,51081.31667745,25.02812,20.50917,19.03781,18.48899,18.20507,1237646010551632112,0.01606327,77759528
12.2386234226724,-0.731152546789978,51081.31667745,20.77462,19.50227,18.94801,18.76861,18.766,1237646010551631949,0.01378282,77759785
12.2100303707,-0.781348809280749,51081.31667745,21.57062,20.99001,20.50301,20.2124,20.46678,1237646010551632041,0.05982336,77759927
12.1811332607942,-0.779229525856865,51081.31667745,25.45731,22.93843,21.68538,21.44004,20.91657,1237646010551632372,0.1405059,77759369
12.1839685972986,-0.728215343384942,51081.31667745,22.14396,21.91995,20.83013,20.52381,20.24645,1237646010551632120,0.08029263,77759667
12.2010623680636,-0.766997984006289,51081.31667745,24.30854,22.72146,21.62584,21.99656,21.96548,1237646010551632144,0.3044941,77759454
12.2146165257006,-0.753919005911205,51081.31667745,23.35703,22.42876,22.04148,21.38314,21.43375,1237646010551632169,0.1427557,77759938
12.2328928291591,-0.819495080954111,51081.31667745,22.45154,23.57384,21.50013,21.20498,20.49698,1237646010551632422,0.1393457,77759411
12.208209356533,-0.744736235580544,51081.31667745,20.28403,17.85258,16.67197,16.22416,15.94749,1237646010551631934,0.003744881,77759446
12.2089008013622,-0.755108354492849,51081.31667745,22.94062,21.63345,20.75628,20.45261,21.08634,1237646010551632159,0.09525108,77759459
12.2394595838167,-0.814651898550455,51081.31667745,21.82915,23.3937,21.73911,24.3958,22.09102,1237646010551632432,1.781568,78257433
12.1915373127231,-0.762408748220929,51081.31667745,22.64666,20.5367,19.16268,18.46735,18.03706,1237646010551631998,0.01109915,77759278
12.1860274584236,-0.815327103015438,51081.31667745,22.08813,21.80647,21.46759,21.7083,21.01135,1237646010551632122,0.1585072,77759280
12.2449527224654,-0.736925266297647,51081.31667745,22.13008,21.18791,20.17251,19.78211,19.37281,1237646010551632224,0.03700345,77759326
12.1836297531709,-0.73266168519947,51081.31667745,23.74678,23.89836,22.02553,21.14076,20.66607,1237646010551632376,0.1185915,77759547
12.2038000077836,-0.723853428633146,51081.31667745,24.13545,24.8699,21.99473,21.14816,22.51486,1237646010551632152,0.1084628,77759592
12.1678987366291,-0.819067907527241,51081.31667745,23.14746,23.3117,21.96956,21.38735,21.30691,1237646010551632355,0.1669678,77759355
12.1774407095903,-0.781329799169042,51081.31667745,24.18123,23.05881,22.05064,21.59258,21.93925,1237646010551632365,0.1425491,77759363
12.2321168404092,-0.730774926684345,51081.31667745,26.05509,23.38427,22.60563,21.85947,21.71562,1237646010551632549,0.186402,77759849
12.2343267283068,-0.773710601031731,51081.31667745,24.67851,23.57048,21.82493,21.09518,20.8721,1237646010551632425,0.1288743,77759412
12.2278659735378,-0.791035853152091,51081.31667745,22.70835,22.15533,21.38741,21.40358,20.57164,1237646010551632202,0.1566474,77759421
12.2026142446109,-0.76102858203441,51081.31667745,25.69898,22.17241,21.28705,20.78223,20.46297,1237646010551632149,0.0900339,77759456
12.1797166788328,-0.717197697777476,51081.31667745,25.8742,24.34954,22.00237,21.04002,21.13648,1237646010551632369,0.1151947,77759671
12.2198139878199,-0.786493632573451,51081.31667745,22.89228,22.55659,21.10231,20.17124,19.49886,1237646010551632183,0.04855684,77759941
12.24751450729,-0.782540361604664,51081.31667745,22.14285,22.01703,21.28976,21.02048,21.05347,1237646010551632228,0.1049257,77759331
12.236657028475,-0.741448325676742,51081.31667745,26.11234,22.91611,21.36578,20.67958,20.20547,1237646010551632429,0.0852554,77759410
12.2205720428017,-0.75394145387113,51081.31667745,24.0407,22.08491,21.5833,22.24592,21.42463,1237646010551632185,0.4582402,77759943
12.222583066172,-0.725580230201243,51081.31667745,23.35022,20.60415,18.96562,18.23479,17.79823,1237646010551632189,0.01812053,77759614
12.1884660174459,-0.81669878540143,51081.31667745,27.13515,22.79053,21.09558,20.41998,20.23759,1237646010551632382,0.07005958,77759283
12.2057836149896,-0.775694127707269,51081.31667745,22.83217,21.22721,20.06603,19.72955,19.48229,1237646010551632157,0.04603041,77759457
12.2478249467071,-0.719831864061179,51081.31667745,22.47881,21.07654,20.54293,20.18594,20.14746,1237646010551632229,0.04369625,77759795
12.1743405241445,-0.727884770326957,51081.31667745,23.29133,23.34699,23.0603,21.84285,21.7445,1237646010551632516,0.178995,77759692
12.2228526466246,-0.779979911030093,51081.31667745,24.11459,22.01373,21.60794,21.44639,21.19887,1237646010551631942,0.1296904,77759923
12.2061212239736,-0.790885723449969,51081.31667745,22.63976,23.45503,22.47745,23.02542,21.66899,1237646010551632398,0.4822137,77759458
12.1821494560706,-0.752899684015428,51081.31667745,22.87539,22.51456,21.36343,20.97574,20.92942,1237646010551632115,0.1042703,77759371
12.2014307967856,-0.735575116389365,51081.31667745,26.31094,24.50892,23.1073,21.24541,20.37032,1237646010551632537,0.1337609,77759461
12.2037890102384,-0.788521151105387,51081.31667745,24.4053,22.69647,21.1868,19.92451,19.34064,1237646010551632394,0.04161694,77759463
12.2085599360207,-0.76525822740656,51081.31667745,22.62529,23.82862,21.84946,21.2681,22.46892,1237646010551632400,0.13006,77759464
12.1981655254381,-0.737005620340652,51081.31667745,22.33723,19.78092,18.24352,16.97411,16.28308,1237646010551631930,0.004864147,77759305
12.1681171935084,-0.763548808450163,51081.31667745,22.42336,21.87591,21.05038,20.97775,20.58376,1237646010551632086,0.09629054,77759356
12.1774610396028,-0.817066078196946,51081.31667745,24.15837,23.86655,22.32505,22.16828,20.71665,1237646010551632366,0.2361631,77759379
12.2009414799557,-0.773283268496527,51081.31667745,26.52613,20.82919,19.44675,18.8691,18.55713,1237646010551632018,0.01480111,77759448
12.1907858112226,-0.726731917459337,51081.31667745,23.31009,25.66915,22.51731,21.35732,20.47735,1237646010551632531,0.1823651,77759650
12.2386285976417,-0.823854661446508,51081.31667745,22.51594,22.67937,21.551,21.11705,20.9266,1237646010551632431,0.1245126,77759912
12.2103871809144,-0.818026219952594,51081.31667745,26.04496,22.40215,21.0027,19.97684,19.54729,1237646010551632164,0.04412368,77759936
12.2162792802982,-0.724755979547427,51081.31667745,25.32761,24.47271,21.95461,21.44534,22.72648,1237646010551632181,0.1685053,77759607
12.1935701483727,-0.770042645238032,51081.31667745,21.75927,21.19246,20.70415,19.94413,19.34305,1237646010551632134,0.06629809,77759292
12.1729220741482,-0.758238174093727,51081.31667745,26.46265,22.20827,21.23743,21.90827,22.83687,1237646010551632093,0.373351,77759360
12.2043111428868,-0.795846298492792,51081.31667745,25.74025,23.28589,22.11126,21.40676,21.40774,1237646010551632395,0.1479552,77759450
12.2032595520235,-0.807977388071792,51081.31667745,25.27287,22.28246,20.85768,19.84486,19.50642,1237646010551632393,0.05997145,77759462
12.1973346719286,-0.80805366736401,51081.31667745,20.93113,19.79487,19.30234,18.99595,18.8877,1237646010551632036,0.02255657,77759308
12.1825985726181,-0.793341122257529,51081.31667745,23.53716,23.08049,22.04411,21.58242,20.92369,1237646010551632373,0.1626498,77759383
12.2022624422556,-0.725143513126928,51081.31667745,25.23562,23.40174,22.46123,22.01492,21.86192,1237646010551632153,0.2353736,77759626
12.217278192047,-0.804681863071792,51081.31667745,25.53969,22.66824,21.64594,21.33238,22.61724,1237646010551632410,0.184154,77759956
12.2422513910589,-0.727889681704996,51081.31667745,20.80247,19.60189,19.72698,19.83161,20.08312,1237646010551631950,0.03122426,77759786
12.177947085849,-0.821890136178219,51081.31667745,22.12308,23.89326,22.08956,20.95089,20.63349,1237646010551632521,0.1628293,77759391
12.2029630456364,-0.749038921307418,51081.31667745,23.91706,21.57993,20.0088,18.71269,17.99324,1237646010551632019,0.0133631,77759449
12.1672707621434,-0.73301256870125,51081.31667745,21.89947,22.10861,21.35923,21.02085,20.59512,1237646010551632084,0.1369046,77759542
12.1787658192517,-0.765121916660308,51081.31667745,24.10408,24.46844,22.92323,21.34272,20.78671,1237646010551632522,0.1406847,77759392
12.2292603022096,-0.820229411826224,51081.31667745,22.65229,25.42274,23.41128,21.09393,20.8579,1237646010551632547,0.1485587,77759426
12.2168984937443,-0.809104324527722,51081.31667745,20.6819,19.47729,19.61838,19.74762,19.8626,1237646010551631937,0.02887687,77759920
12.2238635505421,-0.776914410646666,51081.31667745,24.24462,22.49207,20.90546,20.12033,19.56217,1237646010551631941,0.03991986,77759922
12.1908281129071,-0.805900753104208,51081.31667745,21.60993,21.068,21.42619,20.76917,21.27717,1237646010551632128,0.2316144,77037086
12.1775822707336,-0.748845998187407,51081.31667745,22.86584,22.03027,21.35402,21.03431,20.74067,1237646010551632104,0.1122442,77759364
12.2044618441682,-0.729014549248581,51081.31667745,25.67159,22.08624,21.88743,21.31551,21.62696,1237646010551632155,0.1237058,77759593
12.1757906912813,-0.717080583657453,51081.31667745,24.348,22.47126,22.17583,22.22015,21.65154,1237646010551632099,0.2831296,77759679
12.1998791054028,-0.806754292650309,51081.31667745,22.94444,21.903,21.43973,21.44665,20.70977,1237646010551632143,0.1337897,77759452
12.2099800620484,-0.729843472556843,51081.31667745,22.01773,21.34555,20.54533,20.46855,19.90977,1237646010551632162,0.06864499,77759597
12.2438400944445,-0.805245773225913,51081.31667745,25.64975,21.7668,19.89758,19.35596,18.98482,1237646010551632221,0.0264015,77759325
12.1877831309588,-0.794375693484376,51081.31667745,22.53557,24.20967,22.87481,21.446,20.60525,1237646010551632529,0.1543565,77759297
12.2480928234295,-0.729049382366269,51081.31667745,27.05447,23.3319,21.12025,20.73488,20.35394,1237646010551632439,0.1774238,77759817
12.2297651342197,-0.732829615764927,51081.31667745,23.60771,23.90121,22.48667,22.81019,21.3944,1237646010551632417,0.4121738,77759538
12.2448974248057,-0.801536308544804,51081.31667745,26.03353,23.49345,21.73515,20.97664,21.38111,1237646010551632436,0.1122053,77759336
12.1674839961059,-0.758945586686314,51081.31667745,22.84788,22.66679,21.6664,21.11657,20.93141,1237646010551631993,0.1038539,77759349
12.183541445869,-0.79537902943769,51081.31667745,22.87267,24.84516,22.30629,21.5718,22.26214,1237646010551632524,0.193797,77759352
12.229616163731,-0.796531724878761,51081.31667745,22.36967,21.73011,20.78847,20.53681,20.23093,1237646010551632210,0.07768431,77759422
12.2306710479393,-0.801960133028731,51081.31667745,23.42065,24.14434,22.07102,21.43418,20.3899,1237646010551632418,0.1259438,77759424
12.222558831464,-0.77873204045813,51081.31667745,20.94899,18.86786,18.0128,17.70015,17.50874,1237646010551631940,0.006972951,77759921
12.2288155844935,-0.718608691234071,51081.31667745,21.48009,20.59514,19.87045,19.49041,19.29822,1237646010551632203,0.03389876,77759836
12.1766921411956,-0.753234499944856,51081.31667745,24.16741,23.67535,22.67135,21.11149,20.52237,1237646010551632518,0.1123476,77759389
12.1817082784665,-0.822787065352472,51081.31667745,19.05101,17.93476,17.48537,17.33132,17.25328,1237646010551631925,0.005717976,77759348
12.1817152696963,-0.822791334041501,51136.16648779,19.04392,17.95416,17.48768,17.32432,17.2771,1237646646197551171,0.006387702,77759348
12.2344725448572,-0.762011388571905,51136.16648779,25.55692,22.47316,21.32506,20.04269,19.31762,1237646646197551583,0.04483695,77759409
12.1500001100543,-0.744681550100539,51136.16648779,22.46767,22.02929,20.9984,20.64133,20.27878,1237646646197551415,0.1004095,77759860
12.2251910736881,-0.717513890084351,51136.16648779,23.02194,22.36889,23.93216,21.90995,20.86959,1237646646197551570,0.3321991,77759620
12.1634923806176,-0.745601783614426,51136.16648779,22.55617,20.0925,19.33622,18.91113,18.53017,1237646646197551447,0.03458489,77759879
12.2198302872491,-0.786528676762393,51136.16648779,23.92598,22.89854,21.21209,20.37623,19.77748,1237646646197551294,0.06055672,77759941
12.173041180259,-0.790454483594328,51136.16648779,22.37464,20.53521,20.93775,20.64861,20.71658,1237646646197551811,0.6451376,77759377
12.1500303420871,-0.734556184806258,51136.16648779,23.65079,23.4583,22.0627,21.94942,21.81303,1237646646197551660,0.2551257,77759544
12.2478384402721,-0.719820095522481,51136.16648779,22.02781,21.03033,20.4605,20.16157,19.98271,1237646646197551602,0.05689548,77759795
12.2306318923172,-0.802018748665861,51136.16648779,25.21457,22.37087,21.8267,20.30784,20.07014,1237646646197551765,0.1210308,77759424
12.1908276139176,-0.726841492794446,51136.16648779,26.19336,24.52072,23.10932,21.75408,22.39459,1237646646197551756,0.2043544,77759650
12.1758027376552,-0.717028363885941,51136.16648779,23.85697,22.35142,22.47293,22.56919,21.8654,1237646646197551478,0.4367265,77759679
12.187287427811,-0.744027396017356,51136.16648779,22.9454,22.51811,21.73432,21.54632,21.34012,1237646646197551679,0.2592795,77759281
12.2438328735993,-0.805210962489432,51136.16648779,23.53687,21.63931,19.96755,19.35036,18.99924,1237646646197551591,0.03243017,77759325
12.1754708800717,-0.819401712127909,51136.16648779,22.58113,22.3494,21.42661,21.15802,21.25423,1237646646197551477,0.1307348,77759362
12.1943776779646,-0.755152353328625,51136.16648779,22.63029,22.29123,21.57926,21.25084,24.33833,1237646646197551819,0.2471199,77759295
12.2300093410408,-0.7327621933778,51136.16648779,25.86684,21.73873,21.88889,25.05227,22.49933,1237646646197551578,2.57302,77759538
