ra,dec,mjd_i,mjd_u,mjd_g,mjd_r,mjd_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,modelMagErr_g,modelMagErr_u,modelMagErr_r,modelMagErr_z
12.1935749239171,-0.770009681451498,53994.35298327,53994.35381256,53994.3554711401,53994.35215399,53994.35464185,22.04868,22.44618,21.57689,20.81726,20.10209,8658197579219206377,0.06695728,0.1270098,0.2807612,0.09726205,0.1259262
12.193565054534,-0.770059873673936,53998.30527396,53998.30610324,53998.30776182,53998.30444467,53998.30693253,21.69328,21.6368,20.90181,20.32496,19.91111,8658197673735094853,0.07296371,0.2160372,0.5124876,0.07997219,0.2474079
12.1935857414069,-0.76998610366347,54010.29104424,54010.29187352,54010.29353209,54010.29021495,54010.29270281,22.21269,22.02301,21.1007,20.52347,19.69584,8658197879891362080,0.06013182,0.1621846,0.4633684,0.08360957,0.09661328
12.1935275973395,-0.769973536977138,54020.28985248,54020.29068165,54020.29234022,54020.28902319,54020.29151094,21.60993,21.85554,20.70106,20.06932,19.9079,8658197974382936400,0.07904131,0.3129153,0.5543031,0.1183759,0.2900304
12.1935263423121,-0.770013280566864,54028.35965822,54028.36048751,54028.36214609,54028.35882905,54028.3613168,25.06229,21.52013,20.73634,20.34127,19.92797,8658198077428728112,0.09612121,0.1017696,3.036618,0.09454373,0.2393345
12.1935711814641,-0.770014648846767,54030.28329798,54030.28412726,54030.28578584,54030.2824688099,54030.28495655,23.16418,22.41346,21.6239,20.8302,20.0622,8658198111820317115,0.05882007,0.112139,0.6310443,0.08517248,0.1252627
12.1934979462131,-0.770015017534378,54035.3590313599,54035.35986065,54035.36151922,54035.35820207,54035.36068993,22.817,21.722,21.10448,20.39151,19.734,8658198206296162538,0.08572254,0.1294217,1.206285,0.1319881,0.1805524
12.1935404796995,-0.769977447575065,54040.27893003,54040.27975931,54040.2814178901,54040.27810074,54040.2805886,21.59424,20.329,20.04803,19.65567,19.29428,8658198279323844925,0.1091442,0.18544,1.409943,0.1499592,0.2595955
12.1934853922692,-0.770131654701825,54047.30961692,54047.31044621,54047.31210477,54047.30878764,54047.3112754901,20.83543,22.05365,20.93654,20.08557,19.44436,8658198330839466263,0.1106367,0.7600698,0.5432581,0.251064,0.206865
12.1934733109914,-0.770070249784814,54049.30562032,54049.30644961,54049.30810818,54049.30479103,54049.30727889,21.61814,21.97395,20.91575,20.37961,19.84518,8658198360908366069,0.09172064,0.3137789,0.7013975,0.1271852,0.1924501
12.1935445444757,-0.770007337054538,54053.26958412,54053.2704134,54053.27207186,54053.26875483,54053.27124269,22.14295,21.81113,20.93289,20.36517,19.73533,8658198438239142454,0.07057128,0.1153748,0.5034944,0.08001169,0.1562602
12.1935594372729,-0.770023239871067,54056.27160594,54056.27243522,54056.27409379,54056.27077665,54056.27326451,25.41117,21.52174,20.75506,20.06123,19.33195,8658198494073127117,0.0712299,0.130509,3.144563,0.1058468,0.1781411
12.1933776190159,-0.770155871480229,54059.26586335,54059.26669252,54059.26835109,54059.26503406,54059.2675218,26.73163,21.19266,20.58166,20.06951,20.00132,8658198545613062319,0.0897343,0.1140791,1.425238,0.09899519,0.3494267
12.1935142439325,-0.769990221943172,54061.27686853,54061.2776978,54061.27935623,54061.27603926,54061.27852708,23.0748,21.49192,20.80133,20.32739,19.70638,8658198597387092191,0.08349011,0.115177,1.896031,0.1000494,0.1801059
12.1935796750397,-0.770070545654227,54062.27072671,54062.271556,54062.2732146,54062.26989741,54062.2723853,21.96006,21.52156,20.83744,20.17756,19.61027,8658198614331359491,0.08461984,0.1170686,0.6305742,0.09948017,0.1994449
12.193474032493,-0.770001090147329,54068.25136334,54068.25219262,54068.25385119,54068.25053405,54068.25302191,26.22127,22.59585,20.33362,19.72272,19.32815,8658198708793901267,0.08340495,1.049336,3.594982,0.1418098,0.1817785
12.1935518581581,-0.770000587908668,54357.3089067,54357.30973599,54357.31139455,54357.30807742,54357.31056527,21.84922,22.23288,21.36135,20.52614,20.20613,8658200156226126105,0.05722163,0.125609,0.2992758,0.08336477,0.1618965
12.1935779790856,-0.769961615401934,54362.35862503,54362.35945432,54362.36111289,54362.35779575,54362.36028361,22.2265,21.46724,20.66175,20.16043,20.33332,8658200246410478036,0.07394294,0.09978179,0.631529,0.08101246,0.328659
12.1934984107024,-0.770025325426533,54379.34875676,54379.34958605,54379.35124462,54379.34792748,54379.35041533,21.66025,21.59878,20.79053,20.26082,19.60781,8658200452577690124,0.07664923,0.1065923,0.4485427,0.0884143,0.1554195
12.1935686456055,-0.770010247547741,54382.33890973,54382.33973901,54382.34139759,54382.33808044,54382.3405683,22.63317,21.7439,21.06444,20.37185,19.48905,8658200512681476330,0.09042078,0.1390097,1.000466,0.1123616,0.1577932
12.1935736155412,-0.769988535045466,54385.35688376,54385.35771305,54385.35937162,54385.35605448,54385.35854234,21.20718,21.48528,20.73184,20.04184,19.49395,8658200568541348111,0.05269524,0.09748891,0.2675153,0.07232071,0.124437
12.193434979238,-0.770016893858276,54387.3572933,54387.3581225901,54387.35978117,54387.35646413,54387.35895188,22.01858,21.94815,20.92605,20.49591,19.869,8658200594310955247,0.08644994,0.1435037,0.5934724,0.09342864,0.178615
12.193396517462,-0.770070430758001,54391.35824261,54391.35907178,54391.36073035,54391.35741332,54391.35990107,21.9238,21.4507,20.97492,20.18937,20.25613,8658200667293352056,0.1024237,0.1407756,0.6986294,0.1469132,0.4121552
12.1935732143072,-0.769962829616849,54394.33990363,54394.34073291,54394.34239137,54394.33907434,54394.3415622,22.31574,21.49267,20.79246,20.17651,19.93469,8658200710275334506,0.08690979,0.1244144,0.9411731,0.1092198,0.2517442
12.1936666146132,-0.7699783034078,54402.35019506,54402.35102435,54402.35268293,54402.34936578,54402.35185364,21.13924,21.89418,20.78415,20.36135,19.80462,8658200783287550290,0.1065629,0.4968745,0.7219089,0.1604134,0.2091972
12.1935319373858,-0.770019476618364,54413.26320611,54413.2640354,54413.26569397,54413.26237682,54413.26486468,22.19304,21.3008,20.70673,20.08167,19.57695,8658200972268863924,0.07301441,0.09573905,0.7236783,0.08999804,0.1718063
12.1935157676354,-0.769999589915981,54418.26328923,54418.26411852,54418.26577698,54418.2624599401,54418.2649478,22.28683,21.45245,20.78608,20.1747,19.42299,8658201040988996122,0.0642052,0.0907149,0.6874873,0.08149615,0.1288761
12.1935582478812,-0.769936384244097,54422.2681472901,54422.26897658,54422.27063515,54422.26731801,54422.26980587,22.08778,21.54859,20.74792,20.28629,19.62896,8658201092527423866,0.09569816,0.2085543,0.8078469,0.119796,0.1950397
12.1935607248391,-0.769983930703562,54424.20414969,54424.20497897,54424.20663755,54424.20332052,54424.20580826,21.34567,21.71859,20.60569,20.11602,19.30484,8658201135446032730,0.1084539,0.4428609,0.7241351,0.1588773,0.1531194
