ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i
12.193579557921,-0.770001849470861,53990.34299049,22.86471,21.44596,20.9322,20.10927,19.48447,8658197471842009422,0.08878767
12.1935749239171,-0.770009681451498,53994.35298327,22.04868,22.44618,21.57689,20.81726,20.10209,8658197579219206377,0.06695728
12.193565054534,-0.770059873673936,53998.30527396,21.69328,21.6368,20.90181,20.32496,19.91111,8658197673735094853,0.07296371
12.1935857414069,-0.76998610366347,54010.29104424,22.21269,22.02301,21.1007,20.52347,19.69584,8658197879891362080,0.06013182
12.1935888992366,-0.770017986525896,54012.28377853,20.6386,21.78072,20.66742,20.30979,19.40071,8658197914252673395,0.101681
12.1935711814641,-0.770014648846767,54030.28329798,23.16418,22.41346,21.6239,20.8302,20.0622,8658198111820317115,0.05882007
12.1935898562826,-0.769992435523687,54037.26458266,22.40332,22.41524,21.69156,20.92993,20.5204,8658198236374171997,0.06057765
12.1935594372729,-0.770023239871067,54056.27160594,25.41117,21.52174,20.75506,20.06123,19.33195,8658198494073127117,0.0712299
12.1935796750397,-0.770070545654227,54062.27072671,21.96006,21.52156,20.83744,20.17756,19.61027,8658198614331359491,0.08461984
12.1935779790856,-0.769961615401934,54362.35862503,22.2265,21.46724,20.66175,20.16043,20.33332,8658200246410478036,0.07394294
12.1935686456055,-0.770010247547741,54382.33890973,22.63317,21.7439,21.06444,20.37185,19.48905,8658200512681476330,0.09042078
12.1935736155412,-0.769988535045466,54385.35688376,21.20718,21.48528,20.73184,20.04184,19.49395,8658200568541348111,0.05269524
12.1935732143072,-0.769962829616849,54394.33990363,22.31574,21.49267,20.79246,20.17651,19.93469,8658200710275334506,0.08690979
12.1935875115199,-0.769969231401395,54411.22267658,22.14156,22.06421,21.43752,20.69916,20.10383,8658200933607342343,0.06339756
12.1935608403401,-0.769985256623999,54417.26530361,22.97959,22.34869,21.44369,20.86339,20.27678,8658201028077093243,0.06907524
12.1935607248391,-0.769983930703562,54424.20414969,21.34567,21.71859,20.60569,20.11602,19.30484,8658201135446032730,0.1084539
