objID,uniquePspsP2id,detectID,ippObjID,ippDetectID,filterID,surveyID,imageID,randomDetID,dvoRegionID,obsTime,xPos,yPos,xPosErr,yPosErr,pltScale,posAngle,ra,dec,raErr,decErr,extNSigma,zp,telluricExt,expTime,airMass,psfFlux,psfFluxErr,psfMajorFWHM,psfMinorFWHM,psfTheta,psfCore,psfQf,psfQfPerfect,psfChiSq,psfLikelihood,momentXX,momentXY,momentYY,momentR1,momentRH,momentM3C,momentM3S,momentM4C,momentM4S,apFlux,apFluxErr,apFillF,apRadius,kronFlux,kronFluxErr,kronRad,sky,skyErr,infoFlag,infoFlag2,infoFlag3,processingVersion,distance
106940102007883853,3051432430000479,236861112430000478,362671333487235,478,4,0,62527543,0.0987935942586452,84441,56469.6114806,1572.949951171875,511.2330017089844,0.12719200551509857,0.12719200551509857,-0.25727298855781555,101.79900360107422,10.20079282,-0.88055962,0.03272299841046333,0.03272299841046333,8.163579940795898,24.271499633789062,0.015154000371694565,60.0,1.2635200023651123,3.544779974617995e-05,2.11906990443822e-06,1.0127300024032593,0.9692860245704651,-87.86630249023438,-0.05524609982967377,0.9977779984474182,0.9977779984474182,1.1007200479507446,3.2524400225428186e-16,0.13282200694084167,-0.025907199829816818,0.16320599615573883,0.9646750092506409,0.7518180012702942,-0.001881800009869039,0.0005111939972266555,-0.012445599772036076,0.004102829843759537,5.5757100199116394e-05,8.518230174558994e-07,0.8504840135574341,2.058180093765259,5.70127995160874e-05,4.700119916378753e-06,2.4116899967193604,9.908580250339583e-05,4.433120011526626e-06,35667969,0,40929344,3,0.012796690335282853
106940102007883853,3051452430000920,238062501430000919,362671333487235,919,5,0,63040243,0.144258947246018,84441,56481.625477,3573.3798828125,1906.780029296875,0.19607500731945038,0.19607500731945038,-0.25723299384117126,71.80180358886719,10.20078429,-0.88053829,0.050436899065971375,0.050436899065971375,6.957459926605225,23.256000518798828,-0.06378299742937088,80.0,1.1121900081634521,5.086070086690597e-05,4.687070031650364e-06,1.0562399625778198,1.029170036315918,-75.58190155029297,0.31389400362968445,0.9983869791030884,0.9983869791030884,1.1389600038528442,3.464509928940984e-12,0.25061699748039246,-0.014200899749994278,0.1529030054807663,1.0935900211334229,0.8805220127105713,-0.00040996100869961083,-0.015411700122058392,0.016523100435733795,-0.0007584959967061877,8.816790068522096e-05,1.4829199699306628e-06,0.8684750199317932,2.3150999546051025,8.906619768822566e-05,1.0717800250859e-05,2.7339799404144287,0.00020597799448296428,8.92434036359191e-06,35667969,0,7342144,3,0.012796690335282853
106940102007883853,3051468440000503,246747737440000502,362671333487235,502,1,0,66177544,0.550178982829842,84441,56568.4776266,4437.8798828125,1468.4000244140625,0.3978390097618103,0.3978390097618103,-0.2573379874229431,11.760700225830078,10.20098937,-0.88056893,0.10237900167703629,0.10237900167703629,-0.6092789769172668,24.447799682617188,-0.10688299685716629,43.0,1.1293799877166748,7.850229849282186e-06,1.4678699926662375e-06,1.5354100465774536,1.3061599731445312,76.4094009399414,0.10007999837398529,0.9986799955368042,0.9986799955368042,1.8912899494171143,-0.542339026927948,0.29421600699424744,-0.014667999930679798,0.17475299537181854,0.9395530223846436,0.6229180097579956,-0.3180519938468933,0.027243999764323235,-0.005681239999830723,0.018059199675917625,1.4046099749975838e-05,4.5886798716310295e-07,0.904075026512146,3.3453900814056396,6.917609880474629e-06,2.205320015491452e-06,2.3488800525665283,8.019320375751704e-06,2.8361400836729445e-06,35651585,0,7342144,3,0.012796690335282853
106940102007883853,3051496440000906,246748958440000905,362671333487235,905,1,0,66179444,0.934524117907997,84441,56568.4898353,4437.64990234375,1469.239990234375,0.3086479902267456,0.3086479902267456,-0.2572900056838989,11.762499809265137,10.20088244,-0.88056158,0.07941199839115143,0.07941199839115143,4.306729793548584,24.455799102783203,-0.09409800171852112,43.0,1.1615500450134277,9.68374024523655e-06,1.4047700460650958e-06,1.4450900554656982,1.3101999759674072,74.67379760742188,0.013493499718606472,0.9989179968833923,0.9989179968833923,2.0176498889923096,1.6568599676247686e-05,0.2557539939880371,0.015556099824607372,0.21562199294567108,1.1632800102233887,0.8899139761924744,-0.04002229869365692,0.11695200204849243,-0.042204599827528,-0.01963910087943077,1.7319000107818283e-05,5.082679876977636e-07,0.9021919965744019,3.3447699546813965,1.5257500308507588e-05,2.7063099423685344e-06,2.908210039138794,7.827939953131136e-06,2.8644099074881524e-06,35667969,0,7342144,3,0.012796690335282853
106940102007883853,3051525430000350,248637535430000349,362671333487235,349,2,0,66784943,0.413228252356153,84441,56587.3755981,4638.85986328125,4155.68994140625,0.18561199307441711,0.18561199307441711,-0.25727200508117676,41.80400085449219,10.20076314,-0.88051045,0.047752801328897476,0.047752801328897476,8.006819725036621,24.668100357055664,-0.10170599818229675,40.0,1.0754599571228027,1.9145800251862966e-05,1.6702299490134465e-06,1.3322299718856812,0.9303100109100342,-84.15570068359375,-0.05711819976568222,0.9986900091171265,0.9986900091171265,1.0870699882507324,1.1771499565239158e-15,0.17598100006580353,0.016144199296832085,0.17683100700378418,1.0868699550628662,0.7811049818992615,0.00252423994243145,0.015404599718749523,-0.0006442349986173213,-0.004482119809836149,3.64145016646944e-05,7.002079769335978e-07,0.8684750199317932,2.3154499530792236,4.255770181771368e-05,3.824919986072928e-06,2.717170000076294,4.844880095333792e-05,3.1784600196260726e-06,35667969,0,74483776,3,0.012796690335282853
106940102007883853,3051539430000384,248638702430000383,362671333487235,383,2,0,66786843,0.331371929805141,84441,56587.3872677,4644.9599609375,4156.22998046875,0.2192309945821762,0.2192309945821762,-0.2573060095310211,41.80059814453125,10.20081844,-0.88052088,0.056409601122140884,0.056409601122140884,5.12332010269165,24.675600051879883,-0.09554900228977203,40.0,1.0778700113296509,1.7587699403520674e-05,1.812210030038841e-06,1.4256199598312378,1.0335099697113037,-87.8386001586914,-0.006412450224161148,0.997564971446991,0.997564971446991,1.0759700536727905,3.0019600671948865e-07,0.23277199268341064,-0.016396500170230865,0.18533700704574585,1.1193900108337402,0.7471110224723816,-0.008542889729142189,0.010606899857521057,-0.00898141972720623,-0.003936789929866791,3.141859997413121e-05,6.4704602209531e-07,0.8785349726676941,2.5730600357055664,2.9521999749704264e-05,3.904040113411611e-06,2.7984800338745117,4.8193400289164856e-05,3.126780029560905e-06,35667969,0,7374912,3,0.012796690335282853
106940102007883853,3051552430000519,248639980430000518,362671333487235,518,3,0,66788943,0.470364748938349,84441,56587.4000713,4652.75,4158.47998046875,0.10358799993991852,0.10358799993991852,-0.2572210133075714,41.80070114135742,10.20084617,-0.8805121,0.02664490044116974,0.02664490044116974,10.503100395202637,24.551599502563477,-0.06663600355386734,45.0,1.0873199701309204,2.9971599360578693e-05,1.4592000070479116e-06,1.0066100358963013,0.925915002822876,-65.42179870605469,-0.19786499440670013,0.9989039897918701,0.9989039897918701,1.1416000127792358,8.362930160401718e-26,0.16562600433826447,0.0014575399691239,0.12423499673604965,0.966517984867096,0.7578859925270081,-0.007424689829349518,0.010311000049114227,0.005997939966619015,0.003870380111038685,5.035430149291642e-05,8.186789841602149e-07,0.8455110192298889,2.057770013809204,5.4319600167218596e-05,3.3492199236206943e-06,2.416290044784546,4.95351996505633e-05,3.1254799068847205e-06,35667969,128,7374912,3,0.012796690335282853
106940102007883853,3051571430000461,248641282430000460,362671333487235,460,3,0,66790843,0.204874412347446,84441,56587.4130902,4653.89990234375,4156.66015625,0.13199500739574432,0.13199500739574432,-0.2572210133075714,41.795101165771484,10.20083233,-0.8805243,0.03395180031657219,0.03395180031657219,12.124899864196777,24.465599060058594,-0.1518319994211197,45.0,1.1045900583267212,2.8154199753771536e-05,1.7466200006310828e-06,0.9623249769210815,0.8525270223617554,88.38510131835938,-0.03268149867653847,0.998403012752533,0.998403012752533,1.2044600248336792,7.798809923690774e-34,0.17177200317382812,0.016095200553536415,0.14094899594783783,0.984080970287323,0.8403890132904053,0.007439250126481056,-0.0011495300568640232,-0.009530739858746529,0.003174629993736744,5.7874298363458365e-05,9.205369906339911e-07,0.8405370116233826,2.057770013809204,5.6296299590030685e-05,4.428769898368046e-06,2.460200071334839,8.23006994323805e-05,4.182239990768721e-06,35667969,0,7342144,3,0.012796690335282853
106940102007883853,3051967570000772,252420106570000771,362671333487235,771,5,0,68050057,0.347638737734071,84441,56625.2015292,3794.669921875,1334.8399658203125,0.21302199363708496,0.21302199363708496,-0.2555539906024933,98.87799835205078,10.20085436,-0.88058689,0.054438501596450806,0.054438501596450806,4.972259998321533,23.292699813842773,-0.013093000277876854,80.0,1.1956199407577515,5.0831000407924876e-05,5.089209935249528e-06,1.3170599937438965,1.1174499988555908,-39.98569869995117,-0.021755000576376915,0.9988449811935425,0.9988449811935425,1.1344900131225586,6.617669896513689e-07,0.24315999448299408,-0.024387400597333908,0.26528701186180115,1.252020001411438,0.8250110149383545,-0.00694003002718091,-0.07936490327119827,0.011350800283253193,0.00216346001252532,8.789749699644744e-05,1.4365899687618366e-06,0.8865320086479187,2.8110899925231934,9.565440268488601e-05,1.2230800166435074e-05,3.130039930343628,0.0002445789868943393,8.9162303993362e-06,35667969,0,7374912,3,0.012796690335282853
106940102007883853,3052026050000453,251235450050000452,362671333487235,452,4,0,67485305,0.160075416937541,84441,56613.3548607,1970.550048828125,1343.6199951171875,0.16639399528503418,0.16639399528503418,-0.25554901361465454,-171.38299560546875,10.20082704,-0.88060985,0.042521800845861435,0.042521800845861435,7.709310054779053,24.254600524902344,-0.027569999918341637,60.0,1.1293799877166748,3.630889841588214e-05,2.839540002241847e-06,1.0833499431610107,1.0213199853897095,68.67420196533203,0.31807300448417664,0.9984729886054993,0.9984729886054993,1.1873199939727783,1.2649900048354416e-14,0.23378300666809082,0.0447315014898777,0.22786900401115417,1.0857199430465698,0.7577019929885864,0.010373299941420555,-0.02245509997010231,0.008641899563372135,0.000967837986536324,6.661789666395634e-05,9.341910072180326e-07,0.872169017791748,2.555490016937256,6.505950295832008e-05,6.266359832807211e-06,2.7143099308013916,0.00014375499449670315,5.5309501476585865e-06,35667969,0,7342144,3,0.012796690335282853
